,summary,rank,years_on_force,disciplined,category,allegation_name,verbal_abuse,verbal_abuse_weight
1284,"In an incident involving an on-duty CPD Officer, a Sergeant and the Complainant, it was alleged that the Officer directed profanities at the Complainant and punched the Complainant. It was further alleged that the Sergeant failed to register a CR as requested by the Complainant.",Sergeant of Police,31,False,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
1285,"In an incident involving an on-duty CPD Officer, a Sergeant and the Complainant, it was alleged that the Officer directed profanities at the Complainant and punched the Complainant. It was further alleged that the Sergeant failed to register a CR as requested by the Complainant.",Police Officer / Field Training Officer,13,False,Verbal Abuse,Use Of Profanity,0,0
1287,"In an incident involving eleven on-duty CPD Officers (Officer A, B, C, D, E, F, G, H, I, J, and K), a twelve Unknown on-duty CPD Officer, an on-duty Sergeant and the Complainant, it was alleged that Officer A struck the Complainant on the head while she was handcuffed and down on her knees, engaged in conduct that brought discredit upon the Chicago Police Department, failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show his badge to the Complainant, grabbed the Complainant, pushed/threw the Complainant against a wall, pushed the Complainant onto a sofa, punched the Complainant, slapped the Complainant, kicked the Complainant, choked the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. It was alleged that Officer B verbally abused the Complainant, engaged in the above conduct that brought discredit upon the Chicago Police Department, and failed to show his badge to the Complainant. Officer C was alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show her badge to the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. Officers D, E, F, G, H, I, J, and K were alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report misconduct committed by Officer B when he verbally abused the Complainant, and failed to show their badge to the Complainant. It was further alleged that the Sergeant failed to immediately intervene to protect the Complainant from being verbally abused by Officer B, failed to initiate a complaint register number in relation to the misconduct committed by Officer B when he verbally abused the Complainant and failed to show his badge to the Complainant. Finally, it was alleged that the Unknown Officer put a pillow on the Complainants face and directed profanities towards the Complainant.",Police Officer,38,True,Use Of Force,Excessive Force / On Duty - Injury,1,6
1288,"In an incident involving an on-duty CPD Officer, it was alleged that the Officer was inattentive to duty because she failed to properly handle her OC spray canister resulting in an unintentional discharge.",Police Officer,8,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1291,"In an incident involving eleven on-duty CPD Officers (Officer A, B, C, D, E, F, G, H, I, J, and K), a twelve Unknown on-duty CPD Officer, an on-duty Sergeant and the Complainant, it was alleged that Officer A struck the Complainant on the head while she was handcuffed and down on her knees, engaged in conduct that brought discredit upon the Chicago Police Department, failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show his badge to the Complainant, grabbed the Complainant, pushed/threw the Complainant against a wall, pushed the Complainant onto a sofa, punched the Complainant, slapped the Complainant, kicked the Complainant, choked the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. It was alleged that Officer B verbally abused the Complainant, engaged in the above conduct that brought discredit upon the Chicago Police Department, and failed to show his badge to the Complainant. Officer C was alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show her badge to the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. Officers D, E, F, G, H, I, J, and K were alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report misconduct committed by Officer B when he verbally abused the Complainant, and failed to show their badge to the Complainant. It was further alleged that the Sergeant failed to immediately intervene to protect the Complainant from being verbally abused by Officer B, failed to initiate a complaint register number in relation to the misconduct committed by Officer B when he verbally abused the Complainant and failed to show his badge to the Complainant. Finally, it was alleged that the Unknown Officer put a pillow on the Complainants face and directed profanities towards the Complainant.",Sergeant of Police,25,True,Use Of Force,Excessive Force / On Duty - Injury,1,6
1292,"In an incident involving an on-duty CPD Officer, it was alleged that during the execution of a search warrant, the Officer was inattentive to duty in that she failed to maintain control of her firearm, causing it to accidentally discharge.",Police Officer,15,True,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1293,"In an incident involving eleven on-duty CPD Officers (Officer A, B, C, D, E, F, G, H, I, J, and K), a twelve Unknown on-duty CPD Officer, an on-duty Sergeant and the Complainant, it was alleged that Officer A struck the Complainant on the head while she was handcuffed and down on her knees, engaged in conduct that brought discredit upon the Chicago Police Department, failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show his badge to the Complainant, grabbed the Complainant, pushed/threw the Complainant against a wall, pushed the Complainant onto a sofa, punched the Complainant, slapped the Complainant, kicked the Complainant, choked the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. It was alleged that Officer B verbally abused the Complainant, engaged in the above conduct that brought discredit upon the Chicago Police Department, and failed to show his badge to the Complainant. Officer C was alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show her badge to the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. Officers D, E, F, G, H, I, J, and K were alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report misconduct committed by Officer B when he verbally abused the Complainant, and failed to show their badge to the Complainant. It was further alleged that the Sergeant failed to immediately intervene to protect the Complainant from being verbally abused by Officer B, failed to initiate a complaint register number in relation to the misconduct committed by Officer B when he verbally abused the Complainant and failed to show his badge to the Complainant. Finally, it was alleged that the Unknown Officer put a pillow on the Complainants face and directed profanities towards the Complainant.",Police Officer,29,True,Use Of Force,Excessive Force / On Duty - Injury,1,6
1295,"In an incident involving an off-duty CPD Officer, an on- duty CPD Sergeant, and the Complainant/minor child, it was alleged that the Officer engaged in an unjustified physical altercation with the Complainant/minor child, repeatedly pushed the Complainant/minor child, threatened the Complainant/minor child with physical harm, and verbally abused the Complainant/minor child. Also, it was alleged that that Sergeant failed to initiate an investigation when the Complainant/minor childs parent informed her of the Officers alleged misconduct.",Sergeant of Police,27,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,1,3
1296,"In an incident involving an off-duty CPD Officer, an on- duty CPD Sergeant, and the Complainant/minor child, it was alleged that the Officer engaged in an unjustified physical altercation with the Complainant/minor child, repeatedly pushed the Complainant/minor child, threatened the Complainant/minor child with physical harm, and verbally abused the Complainant/minor child. Also, it was alleged that that Sergeant failed to initiate an investigation when the Complainant/minor childs parent informed her of the Officers alleged misconduct.",Police Officer,14,False,Domestic,Domestic Altercation - Physical Abuse,1,3
1297,"In an incident involving an on-duty CPD Officer, it was alleged that while conducting a spark test, the Officer accidentally discharged the Taser.",Police Officer,29,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1302,"In an incident involving an on-duty CPD Officer, the Officer was alleged to have been inattentive to duty when she accidentally discharged her Taser.",Police Officer,16,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1303,"In an incident involving eleven on-duty CPD Officers (Officer A, B, C, D, E, F, G, H, I, J, and K), a twelve Unknown on-duty CPD Officer, an on-duty Sergeant and the Complainant, it was alleged that Officer A struck the Complainant on the head while she was handcuffed and down on her knees, engaged in conduct that brought discredit upon the Chicago Police Department, failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show his badge to the Complainant, grabbed the Complainant, pushed/threw the Complainant against a wall, pushed the Complainant onto a sofa, punched the Complainant, slapped the Complainant, kicked the Complainant, choked the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. It was alleged that Officer B verbally abused the Complainant, engaged in the above conduct that brought discredit upon the Chicago Police Department, and failed to show his badge to the Complainant. Officer C was alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report the misconduct committed by Officer B when he verbally abused the Complainant, failed to show her badge to the Complainant, and handcuffed the Complainant too tightly on her wrists and ankles. Officers D, E, F, G, H, I, J, and K were alleged to have failed to intervene to protect the Complainant from being verbally abused by Officer B, failed to report misconduct committed by Officer B when he verbally abused the Complainant, and failed to show their badge to the Complainant. It was further alleged that the Sergeant failed to immediately intervene to protect the Complainant from being verbally abused by Officer B, failed to initiate a complaint register number in relation to the misconduct committed by Officer B when he verbally abused the Complainant and failed to show his badge to the Complainant. Finally, it was alleged that the Unknown Officer put a pillow on the Complainants face and directed profanities towards the Complainant.",Police Officer,34,True,Use Of Force,Excessive Force / On Duty - Injury,1,6
1304,"In an incident involving an off-duty CPD Officer/Husband and the Complainant/Wife, it was alleged that the Officer/Husband was intoxicated while off-duty.",Police Officer,16,True,Drug / Alcohol Abuse,Intoxicated Off Duty,0,0
1305,"In an incident involving an on-duty CPD Officer, it was alleged that the Officer failed to maintain control of his weapon resulting in an unintentional discharge.",Police Officer,29,True,Use Of Force,"U Converted To C.R. (Records Keeping Only, Initial)",0,0
1308,"In an incident involving two on-duty CPD Officers (A and B) and the Complainant, it was alleged that Officer A directed profanity at the Complainant, pushed and handcuffed the Complainant too tight. It was also alleged that Officer B failed to register a complaint upon the Complainants request.",Police Officer,20,False,Domestic,Domestic Incident - Not Physical,1,4
1309,"In an incident involving two on-duty CPD Officers (A and B) and the Complainant, it was alleged that Officer A directed profanity at the Complainant, pushed and handcuffed the Complainant too tight. It was also alleged that Officer B failed to register a complaint upon the Complainants request.",Sergeant of Police,34,False,Domestic,Domestic Incident - Not Physical,1,4
1311,"In an incident involving an on-duty CPD Sergeant, it was alleged that while inside the 24th district, the Sergeant was inattentive to duty because she failed to properly handle a Taser causing it to discharge.",Sergeant of Police,29,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1322,"On 19 April 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which an off-duty Chicago Police Department officer was alleged to have unnecessarily displayed his firearm, was intoxicated, and was arrested and found guilty of two counts of aggravated assault. Based on corroborating witness statements and internal reports, IPRA recommended to SUSTAIN the allegations against the accused that he displayed his firearm without cause, was intoxicated, was arrested and found guilty on two counts of aggravated assault. IPRA recommended separation for the accused member; however said member retired from the Department during the course of IPRAs investigation.",Police Officer,27,True,Use Of Force,Unnecessary Display Of Weapon / On Duty,0,0
1323,"On 28 January 2005, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 17th District, in which an off-duty Chicago Police Department officer allegedly struck an individual about the face, verbally abused the individual, allowed a fellow Department member to have possession of the accused members firearms, threatened the lives of two other private citizens, was intoxicated, was served with an Order of Protection and failed to notify the Department, and falsified a report to the Office of Professional Standards regarding the number of firearms within her possession. Because the complaining victim recanted statements that the accused member allegedly struck her about the face and verbally abused the victim, IPRA recommended that these allegations be UNFOUNDED. IPRA recommended that the allegation that the accused member allegedly allowed her firearm to be released into the possession of another Department member, be UNFOUNDED, because there was insufficient evidence to substantiate any misconduct in this action. IPRA recommended to SUSTAIN the allegation that the accused member allegedly threatened the lives of two other individuals, because the complainants statements to outcry witnesses, corroborating statements from other witnesses, and the prompt report of the incident made to the Department resulting in the accused members subsequent arrest for simple battery. Further IPRA recommended to SUSTAIN the allegations that the accused member was intoxicated and failed to notify the Department that she was served with an Order of Protection, based on reports generated from her arrest for and criminal case for simple battery. Because there was insufficient evidence to support the allegation that the accused member falsified a report to the Office of Professional Standards about the number of firearms within her possession, IPRA recommended that this allegation be UNFOUNDED. IPRA recommended a ten (10) day suspension for the accused member.",Police Officer,32,False,Domestic,Domestic Altercation - Physical Abuse,1,3
1324,"On 24 February 2005, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 6th District, involving a then unknown Chicago Police Department officer, who allegedly abused a complainant. This initial investigation was closed because IPRA was not able to obtain a sworn and signed affidavit from the complainant. Upon administrative review, the investigation was re-opened on 11 December 2006. Based on subsequent investigation, IPRA identified separate misconduct and it was alleged that the first accused officer submitted a false Department report and signed another officers name to a Department report without permission. The second accused officer was alleged to have submitted a false Department report, signed another officers name to a Department report without permission, and was aware the misconduct of the first accused officer and failed to report it. Based on the corroborating witness statements from a fellow Department member and on the first accused officers admissions, IPRA recommended to SUSTAIN the allegations that the accused officer submitted a false Department report and signed another officers name to a Department report. Again, based on corroborating witness statements from the fellow Department member and the first accused officers admissions, IPRA recommended to SUSTAIN the allegation that the second accused officer submitted a false Department report. In turn based on said statements and admissions, IPRA found the allegation that the second accused officer signed another officers name to a Department report as UNFOUNDED. Lastly, based on the second accused officers admissions, IPRA recommended to SUSTAIN the allegation that he was aware of the misconduct by the first accused officer and failed to report it. IPRA recommended a fifteen (15) day suspension for each of the accused officers.",Police Officer,21,True,Use Of Force,Excessive Force / On Duty - Injury,0,0
1325,"On 24 February 2005, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 6th District, involving a then unknown Chicago Police Department officer, who allegedly abused a complainant. This initial investigation was closed because IPRA was not able to obtain a sworn and signed affidavit from the complainant. Upon administrative review, the investigation was re-opened on 11 December 2006. Based on subsequent investigation, IPRA identified separate misconduct and it was alleged that the first accused officer submitted a false Department report and signed another officers name to a Department report without permission. The second accused officer was alleged to have submitted a false Department report, signed another officers name to a Department report without permission, and was aware the misconduct of the first accused officer and failed to report it. Based on the corroborating witness statements from a fellow Department member and on the first accused officers admissions, IPRA recommended to SUSTAIN the allegations that the accused officer submitted a false Department report and signed another officers name to a Department report. Again, based on corroborating witness statements from the fellow Department member and the first accused officers admissions, IPRA recommended to SUSTAIN the allegation that the second accused officer submitted a false Department report. In turn based on said statements and admissions, IPRA found the allegation that the second accused officer signed another officers name to a Department report as UNFOUNDED. Lastly, based on the second accused officers admissions, IPRA recommended to SUSTAIN the allegation that he was aware of the misconduct by the first accused officer and failed to report it. IPRA recommended a fifteen (15) day suspension for each of the accused officers.",Police Officer,22,True,Use Of Force,Excessive Force / On Duty - Injury,0,0
1326,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer / Explosives Detective Canine Handler,20,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1327,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,20,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1328,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Lieutenant of Police,19,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1329,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,19,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1330,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,21,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1331,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer as Detective,21,False,Use Of Force,Excessive Force / On Duty - Injury,0,0
1332,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Sergeant of Police,26,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1333,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,27,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1334,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,22,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
1335,"On 21 March 2005, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 23rd District, in which several Chicago Police Department officers allegedly failed to obtain medical attention for an individual within a timely manner after observing the individual place an unknown object in his mouth and complain of an inability to breathe, failed to conduct themselves in a professional manner, and observed the misconduct of those officers principal to this incident and failed to report it. It is further alleged that one of the accused officers struck the individual in the face. Based on internal reports and witness statements, IPRA recommended to SUSTAIN the allegations against three (3) principally involved officers that they failed to obtain medical attention for the individual in a timely manner after observing the individual place an unidentified object into his mouth and complained of difficulty breathing, and that the accused officers failed to conduct themselves in a professional manner by failing to provide said attention. In addition, IPRA recommended that an allegation against a fourth accused officer that he allegedly failed to obtain immediate medical attention for a detainee, be UNFOUNDED because witness statements established that he did not witness the individual put the object in his mouth and therefore was not aware of the need for medical attention, and also he said that he had, as a matter of course, offered medical attention and it was declined. For allegations against those officers alleged to have been witnesses to the mistreatment of the individual and to have failed to report any misconduct and failed to conduct themselves in a professional manner, IPRA recommend to NOT SUSTAIN these allegations because witness statements were inconsistent and could not establish their presence when any misconduct occurred. Further, IPRA recommended a ten (10) day suspension for each of the three principally accused members.",Police Officer,24,False,Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0,0
